City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (mph)
vanavara,80.0,ru,1546893857,82.0,60.35,102.28,7.12,7.07
kankaanpaa,76.0,fi,1546892400,100.0,61.8,22.42,30.2,4.7
kloulklubed,75.0,pw,1546890840,78.0,7.04,134.26,75.2,4.7
sawtell,92.0,au,1546891200,88.0,-30.38,153.1,71.6,1.7
solnechnyy,56.0,ru,1546893858,60.0,50.72,136.64,-20.92,2.59
zeya,0.0,ru,1546893859,64.0,53.74,127.27,-15.11,3.49
maragogi,80.0,br,1546893766,100.0,-9.01,-35.22,74.58,4.72
sola,68.0,vu,1546893859,91.0,-13.88,167.55,83.22,10.42
kita,64.0,ml,1546893859,28.0,13.04,-9.49,71.25,7.18
taltal,0.0,cl,1546893859,61.0,-25.41,-70.49,69.36,4.5
saint-augustin,90.0,ca,1546891200,46.0,45.63,-73.98,12.2,3.36
grindavik,75.0,is,1546893000,80.0,63.84,-22.43,39.2,9.17
whyalla,0.0,au,1546891200,93.0,-33.04,137.58,60.8,6.93
havoysund,75.0,no,1546892400,100.0,71.0,24.66,30.2,20.8
kirillov,92.0,ru,1546893860,91.0,59.86,38.38,24.04,14.0
balabac,12.0,ph,1546893861,100.0,7.99,117.06,80.79,15.79
muisne,75.0,ec,1546891200,88.0,0.61,-80.02,78.8,2.24
singarayakonda,0.0,in,1546893861,85.0,15.25,80.02,57.61,3.04
sochi,75.0,ru,1546891200,86.0,43.6,39.73,39.2,8.95
coihaique,90.0,cl,1546891200,76.0,-45.58,-72.07,50.0,5.82
cidreira,12.0,br,1546893861,62.0,-30.17,-50.22,89.97,16.02
lompoc,40.0,us,1546892100,72.0,34.64,-120.46,66.02,5.82
bandarbeyla,48.0,so,1546893913,100.0,9.49,50.81,76.47,19.04
kenora,1.0,ca,1546893300,80.0,49.76,-94.48,33.8,10.29
barcelos,0.0,br,1546893914,70.0,-0.97,-62.93,87.45,5.84
nyurba,32.0,ru,1546893914,78.0,63.29,118.35,-4.31,4.61
port macquarie,64.0,au,1546891200,100.0,-31.43,152.91,68.0,4.7
cedar city,40.0,us,1546890780,79.0,37.68,-113.06,39.92,18.34
acajutla,20.0,sv,1546890600,37.0,13.59,-89.83,86.0,4.7
san policarpo,80.0,ph,1546893915,95.0,12.18,125.51,77.1,15.79
karratha,0.0,au,1546893915,72.0,-20.74,116.85,75.34,2.71
tibiao,0.0,ph,1546893915,98.0,11.29,122.03,78.09,21.5
barentu,0.0,er,1546893915,72.0,15.11,37.59,58.42,3.38
starkville,1.0,us,1546892100,59.0,33.45,-88.82,68.0,11.41
sibu,75.0,my,1546891200,100.0,2.29,111.83,75.2,2.93
sladkovo,0.0,ru,1546893919,75.0,55.53,70.34,5.37,9.64
upernavik,76.0,gl,1546893919,100.0,72.79,-56.15,9.6,15.57
cabo san lucas,75.0,mx,1546890420,73.0,22.89,-109.91,77.0,5.82
nuevo progreso,68.0,mx,1546893920,92.0,17.14,-95.05,74.76,7.07
aklavik,20.0,ca,1546891200,67.0,68.22,-135.01,-14.81,2.59
estevan,75.0,ca,1546892100,73.0,49.14,-102.99,30.2,25.28
luangwa,36.0,zm,1546893920,92.0,-12.88,28.25,66.21,3.94
yumen,32.0,cn,1546893921,78.0,40.29,97.04,0.78,5.17
englewood,40.0,us,1546891080,18.0,39.65,-104.99,51.26,29.97
hwange,88.0,zw,1546893921,75.0,-18.35,26.5,72.87,3.38
morehead,64.0,pg,1546893921,96.0,-8.71,141.64,74.94,7.29
barra patuca,80.0,hn,1546893925,100.0,15.8,-84.28,74.44,9.98
touros,75.0,br,1546891200,74.0,-5.2,-35.46,82.4,11.41
monrovia,20.0,lr,1546891200,94.0,6.33,-10.8,77.0,7.07
port-cartier,20.0,ca,1546891200,36.0,50.03,-66.88,12.2,8.05
reconquista,32.0,ar,1546893926,89.0,-29.14,-59.64,77.55,10.09
tessalit,56.0,ml,1546893926,23.0,20.2,1.01,55.41,8.75
teya,56.0,ru,1546893926,72.0,60.37,92.63,9.6,7.18
izhmorskiy,68.0,ru,1546893926,84.0,56.19,86.64,12.34,15.23
saint-francois,90.0,gp,1546891200,65.0,16.25,-61.27,80.6,11.41
marivan,0.0,ir,1546893927,69.0,35.52,46.18,15.27,0.58
drogheda,40.0,ie,1546893000,87.0,53.71,-6.35,42.8,13.87
wasilla,90.0,us,1546893540,84.0,61.58,-149.44,5.0,3.6
matara,80.0,lk,1546893928,100.0,5.95,80.54,75.39,3.27
thunder bay,90.0,ca,1546891200,100.0,48.41,-89.26,33.8,3.36
praia,0.0,cv,1546891200,53.0,14.92,-23.51,71.6,9.17
nome,75.0,us,1546892100,58.0,30.04,-94.42,73.94,10.29
sasolburg,8.0,za,1546893976,71.0,-26.81,27.82,64.41,6.29
kaoma,64.0,zm,1546893976,94.0,-14.8,24.8,66.3,6.73
bang len,20.0,th,1546891200,88.0,14.02,100.17,78.8,2.93
aljezur,0.0,pt,1546893977,100.0,37.31,-8.8,53.7,7.96
buchanan,20.0,lr,1546891200,94.0,5.88,-10.05,77.0,5.61
hof,90.0,no,1546892400,100.0,59.53,10.09,33.8,10.29
southbridge,8.0,nz,1546893000,82.0,-43.81,172.25,62.6,9.17
kraslava,92.0,lv,1546893977,90.0,55.9,27.16,19.32,14.23
cusco,75.0,pe,1546893000,48.0,-13.52,-71.98,60.8,2.15
lagos,76.0,ng,1546891200,83.0,6.46,3.39,82.4,8.75
saint-pierre,75.0,pm,1546891200,63.0,46.77,-56.17,28.4,21.92
santa cruz cabralia,20.0,br,1546891200,69.0,-16.28,-39.02,80.6,9.17
shetpe,88.0,kz,1546893978,93.0,44.14,52.16,23.91,8.52
tupik,32.0,ru,1546893979,44.0,54.43,119.94,-16.51,6.29
broken hill,12.0,au,1546891200,30.0,-31.97,141.45,69.8,10.29
canjulao,90.0,ph,1546891200,88.0,10.29,123.94,77.0,5.82
marawi,0.0,sd,1546893979,38.0,18.48,31.82,58.38,11.99
jining,12.0,cn,1546893980,66.0,35.41,116.58,20.4,6.06
mookane,36.0,bw,1546893980,51.0,-23.68,26.66,78.09,8.97
ipatovo,80.0,ru,1546893980,93.0,45.72,42.92,21.84,7.74
hobyo,76.0,so,1546893981,85.0,5.35,48.53,76.42,15.9
san lorenzo,92.0,ec,1546893982,100.0,1.29,-78.84,71.97,2.37
tecoanapa,40.0,mx,1546890480,74.0,16.99,-99.26,84.2,6.93
birjand,75.0,ir,1546891200,93.0,32.86,59.22,44.6,6.93
walvis bay,0.0,na,1546891200,72.0,-22.95,14.51,64.4,9.17
cajaruro,56.0,pe,1546893983,95.0,-5.74,-78.43,67.87,1.59
aqtobe,0.0,kz,1546893000,91.0,50.28,57.21,3.2,2.24
deputatskiy,12.0,ru,1546893983,0.0,69.3,139.9,-50.8,2.59
barra da estiva,8.0,br,1546893984,62.0,-13.63,-41.33,79.17,6.17
college,20.0,us,1546892760,65.0,64.86,-147.8,-38.21,4.16
karanganyar,80.0,id,1546893985,96.0,-7.6,110.95,71.29,2.82
qaqortoq,100.0,gl,1546893985,85.0,60.72,-46.03,36.87,42.3
hondo,40.0,us,1546893300,52.0,29.35,-99.14,75.56,4.61
moron,0.0,mn,1546893986,30.0,47.38,110.32,-22.9,5.84
erzin,0.0,ru,1546893986,49.0,50.26,95.16,-33.11,1.36
paoua,8.0,cf,1546893986,32.0,7.24,16.43,72.78,10.65
dudinka,56.0,ru,1546893935,76.0,69.41,86.18,-4.04,3.71
mehamn,0.0,no,1546890600,90.0,71.03,27.85,32.0,17.22
kenai,90.0,us,1546890960,82.0,60.55,-151.26,-5.08,3.36
dulce nombre de culmi,75.0,hn,1546892340,58.0,15.08,-85.56,82.4,4.7
tiarei,75.0,pf,1546893000,74.0,-17.53,-149.33,82.4,2.24
conakry,0.0,gn,1546893987,100.0,9.52,-13.7,81.33,6.06
flin flon,90.0,ca,1546891200,85.0,54.77,-101.88,17.6,8.05
itarema,76.0,br,1546893752,92.0,-2.92,-39.92,76.83,7.74
la rioja,0.0,ar,1546893988,77.0,-29.41,-66.86,80.61,5.73
hanzhong,76.0,cn,1546894033,73.0,33.08,107.03,13.87,2.15
axim,8.0,gh,1546894033,100.0,4.87,-2.24,81.37,6.29
sahuaripa,48.0,mx,1546894033,71.0,29.05,-109.23,62.7,2.59
gorele,75.0,tr,1546892400,75.0,41.03,39.0,41.0,4.7
lowestoft,40.0,gb,1546892400,81.0,52.48,1.75,50.0,19.46
portland,68.0,au,1546894038,96.0,-33.35,149.98,65.04,2.82
mikuni,75.0,jp,1546891200,86.0,36.22,136.15,41.0,8.05
marseille,0.0,fr,1546891200,100.0,43.3,5.37,41.0,4.7
kirya,56.0,ru,1546894039,79.0,55.08,46.86,6.49,7.18
sao joao da barra,0.0,br,1546891200,58.0,-21.64,-41.05,84.2,23.04
kangaatsiaq,68.0,gl,1546894040,100.0,68.31,-53.46,15.09,3.6
ranghulu,48.0,cn,1546894040,63.0,46.63,124.88,-7.96,9.64
kaka,12.0,tm,1546894040,84.0,37.35,59.62,32.91,4.38
kang,32.0,bw,1546893943,41.0,-23.67,22.79,78.99,8.75
sao pedro do sul,92.0,br,1546894040,91.0,-29.62,-54.18,75.97,18.7
nisia floresta,40.0,br,1546891200,74.0,-6.09,-35.21,82.4,14.99
ruidoso,1.0,us,1546892100,23.0,33.33,-105.67,55.4,17.22
youkounkoun,80.0,gn,1546894041,28.0,12.53,-13.12,76.87,11.65
merauke,92.0,id,1546894041,100.0,-8.49,140.4,76.38,9.64
suleya,64.0,ru,1546894041,86.0,55.14,58.88,7.98,5.39
bilibino,0.0,ru,1546894042,56.0,68.06,166.44,2.22,8.3
borzoy,75.0,ru,1546893000,92.0,42.84,45.63,26.6,1.03
atasu,36.0,kz,1546894042,58.0,48.68,71.64,-7.33,2.93
chitrakonda,0.0,in,1546894042,81.0,18.12,82.08,50.82,2.59
port augusta,0.0,au,1546891200,93.0,-32.49,137.76,60.8,6.93
elizabeth city,40.0,us,1546893300,72.0,36.3,-76.22,48.02,7.63
byron bay,40.0,au,1546891200,73.0,-28.65,153.62,77.0,9.17
hengshui,44.0,cn,1546894043,35.0,37.73,115.7,20.76,9.86
port lincoln,24.0,au,1546894044,100.0,-34.72,135.86,61.84,9.08
puerto carreno,75.0,co,1546891200,49.0,6.19,-67.49,91.4,6.93
dinar,90.0,tr,1546892460,86.0,38.07,30.16,28.4,11.41
fiumicino,0.0,it,1546892400,86.0,41.77,12.23,44.6,4.7
miraflores,92.0,co,1546894037,90.0,5.2,-73.14,58.69,0.92
tabuk,0.0,sa,1546891200,36.0,28.38,36.58,46.4,3.36
hirara,100.0,jp,1546894045,100.0,24.8,125.28,70.57,10.42
chokwe,56.0,mz,1546894045,82.0,-24.53,32.98,72.19,7.29
camden,90.0,us,1546892100,53.0,39.94,-75.12,35.96,3.71
vila velha,20.0,br,1546891200,78.0,-3.71,-38.6,82.4,13.87
muravlenko,36.0,ru,1546894046,71.0,63.79,74.5,-2.33,14.34
sitka,0.0,us,1546893968,33.0,37.17,-99.65,60.18,8.19
kamien pomorski,90.0,pl,1546893000,100.0,53.97,14.77,39.2,9.17
sisimiut,76.0,gl,1546894046,100.0,66.94,-53.67,6.22,3.6
ankang,56.0,cn,1546894047,64.0,32.73,108.99,18.87,2.26
kropotkin,44.0,ru,1546894047,85.0,45.43,40.58,30.3,6.73
sandnessjoen,75.0,no,1546892400,100.0,66.02,12.63,33.8,2.24
nykoping,75.0,se,1546892400,100.0,58.75,17.01,35.6,6.93
george town,20.0,ky,1546891200,83.0,19.29,-81.37,82.4,12.75
chute-aux-outardes,1.0,ca,1546891200,43.0,49.12,-68.38,10.4,9.17
ambilobe,36.0,mg,1546894050,96.0,-13.19,49.05,73.27,1.92
changji,92.0,cn,1546894094,100.0,32.07,116.17,35.79,5.39
jiangyou,92.0,cn,1546894094,78.0,31.78,104.73,30.39,3.71
mineiros,64.0,br,1546894094,59.0,-17.57,-52.55,80.34,8.86
neiafu,100.0,to,1546894095,100.0,-18.65,-173.98,79.8,15.01
kiunga,24.0,pg,1546894095,95.0,-6.12,141.3,73.23,1.59
san cristobal,92.0,ec,1546894095,100.0,-1.02,-79.44,62.79,2.93
kazanlak,90.0,bg,1546891200,100.0,42.62,25.4,19.4,3.04
yar-sale,20.0,ru,1546894043,93.0,66.83,70.83,-7.78,16.69
shakawe,44.0,bw,1546894096,55.0,-18.36,21.84,79.12,6.96
torbay,20.0,ca,1546891200,68.0,47.66,-52.73,28.4,16.11
port hawkesbury,90.0,ca,1546891200,79.0,45.62,-61.36,23.0,16.11
dukat,48.0,ru,1546894097,49.0,62.55,155.55,-32.21,2.59
qom,0.0,ir,1546893953,66.0,34.64,50.88,33.63,7.29
saquarema,0.0,br,1546891200,62.0,-22.93,-42.51,93.2,17.22
ovsyanka,0.0,ru,1546894097,54.0,53.58,126.91,-19.21,4.16
praya,40.0,id,1546893000,100.0,-8.71,116.27,77.0,1.12
oriximina,8.0,br,1546894098,79.0,-1.77,-55.87,82.99,3.38
kendari,80.0,id,1546894098,99.0,-3.99,122.52,74.26,2.71
gunjur,0.0,gm,1546891200,56.0,13.18,-16.76,73.4,3.36
susehri,88.0,tr,1546894098,79.0,40.16,38.09,14.41,2.15
zhigansk,20.0,ru,1546894099,64.0,66.77,123.37,-22.09,5.17
garmsar,0.0,ir,1546894099,64.0,35.22,52.34,30.79,6.51
williamsport,90.0,us,1546891440,80.0,41.25,-77.0,28.94,10.29
aden,12.0,ye,1546894099,100.0,12.79,45.03,76.11,7.52
maltahohe,0.0,na,1546894011,44.0,-24.83,16.98,66.93,8.52
artyom,90.0,az,1546893000,93.0,40.47,50.33,41.0,12.75
kashi,80.0,cn,1546891200,66.0,39.45,75.98,15.8,4.47
ternate,8.0,id,1546894100,100.0,0.8,127.4,82.32,10.65
hofn,32.0,is,1546894100,100.0,64.25,-15.21,36.78,11.65
latung,0.0,ph,1546894100,100.0,5.5,120.88,83.44,10.09
ibimirim,76.0,br,1546894101,77.0,-8.54,-37.69,75.12,3.83
san carlos de bariloche,75.0,ar,1546891200,50.0,-41.13,-71.31,55.4,31.09
rio hato,20.0,pa,1546891200,46.0,8.38,-80.16,89.6,14.99
kilgore,75.0,us,1546893420,83.0,32.39,-94.88,69.08,11.41
topeka,1.0,us,1546892100,38.0,39.05,-95.68,59.0,10.29
svobodnyy,56.0,ru,1546894105,74.0,53.85,40.53,5.91,7.96
phalaborwa,100.0,za,1546891200,78.0,-23.95,31.14,75.2,2.24
sao filipe,0.0,cv,1546894105,91.0,14.9,-24.5,74.85,9.75
cascais,0.0,pt,1546891200,34.0,38.7,-9.42,51.8,3.36
balugaon,0.0,in,1546894106,94.0,19.75,85.21,57.84,1.14
yamada,75.0,jp,1546891200,86.0,36.58,137.08,41.0,8.05
paris,75.0,us,1546892100,93.0,36.3,-88.33,59.0,16.11
florianopolis,75.0,br,1546892160,88.0,-27.6,-48.55,77.0,12.75
santiago del estero,0.0,ar,1546894004,72.0,-27.8,-64.26,86.32,4.5
irati,32.0,br,1546894156,76.0,-25.47,-50.65,75.48,11.1
iquique,40.0,cl,1546891200,69.0,-20.22,-70.14,75.2,16.11
gizo,76.0,sb,1546894157,100.0,-8.1,156.84,79.21,10.87
bloomfield,1.0,us,1546893300,66.0,40.75,-92.42,55.4,14.99
hervey bay,76.0,au,1546891200,69.0,-25.3,152.85,77.0,14.99
kavaratti,0.0,in,1546894103,100.0,10.57,72.64,80.79,6.4
noumea,20.0,nc,1546893000,61.0,-22.28,166.46,78.8,8.05
mersin,75.0,tr,1546892400,75.0,36.81,34.63,46.4,10.29
santa cruz,20.0,ph,1546891200,78.0,14.28,121.42,77.0,12.77
sorong,100.0,id,1546894158,100.0,-0.86,131.25,82.27,10.65
obigarm,88.0,tj,1546894158,91.0,38.72,69.71,18.87,1.03
sivas,75.0,tr,1546890600,85.0,39.75,37.01,14.0,12.75
birmitrapur,8.0,in,1546894159,96.0,22.4,84.77,52.21,6.51
mamallapuram,24.0,in,1546893000,94.0,12.63,80.17,71.6,3.36
aksay,48.0,kz,1546894160,78.0,51.17,53.01,2.22,8.41
tabou,8.0,ci,1546894160,100.0,4.42,-7.36,81.78,4.72
hami,0.0,cn,1546894160,48.0,42.84,93.51,-3.73,4.16
aplahoue,76.0,bj,1546894160,52.0,6.93,1.68,84.21,6.73
namibe,0.0,ao,1546894012,100.0,-15.19,12.15,72.96,8.97
zheleznodorozhnyy,75.0,ru,1546893000,85.0,55.75,38.0,12.2,8.95
kilifi,20.0,ke,1546891200,83.0,-3.63,39.85,80.6,6.93
grand forks,1.0,us,1546893300,64.0,47.91,-97.06,41.9,18.34
palomares,68.0,mx,1546894162,92.0,17.14,-95.06,74.76,7.07
bahia blanca,0.0,ar,1546893947,36.0,-38.72,-62.27,87.22,15.01
hovd,0.0,mn,1546894162,42.0,48.01,91.64,-30.19,1.25
narrabri,20.0,au,1546891200,47.0,-30.33,149.78,75.2,10.29
tarakan,8.0,id,1546893936,100.0,3.3,117.63,76.96,4.72
loves park,90.0,us,1546893300,92.0,42.31,-89.06,51.98,16.11
douentza,24.0,ml,1546894163,36.0,15.01,-2.95,62.29,6.96
nelson bay,12.0,au,1546891200,88.0,-32.72,152.14,71.6,4.7
manzhouli,0.0,cn,1546894163,43.0,49.6,117.43,-15.7,8.52
oistins,20.0,bb,1546891200,65.0,13.07,-59.53,82.4,19.46
vredendal,0.0,za,1546894163,89.0,-31.68,18.49,59.77,3.6
luau,56.0,ao,1546894163,91.0,-10.71,22.22,69.63,1.92
oksfjord,90.0,no,1546892400,100.0,70.24,22.35,32.0,19.46
manacapuru,75.0,br,1546891200,88.0,-3.3,-60.62,77.0,3.36
pisco,0.0,pe,1546891200,30.0,-13.71,-76.2,71.6,12.75
montanha,0.0,br,1546894164,48.0,-18.13,-40.37,86.73,13.78
katima mulilo,8.0,na,1546894164,94.0,-17.5,24.28,68.59,4.38
lukiv,56.0,ua,1546894165,83.0,51.05,25.4,17.52,5.17
beloha,12.0,mg,1546894165,92.0,-25.17,45.06,71.47,5.95
launceston,90.0,au,1546893000,77.0,-41.43,147.14,59.0,5.82
gullane,20.0,gb,1546892400,66.0,56.04,-2.83,48.2,16.11
bocanda,64.0,ci,1546894213,35.0,7.06,-4.5,79.17,6.4
cristalina,0.0,br,1546894213,59.0,-16.77,-47.61,82.23,5.73
naze,44.0,jp,1546894213,100.0,28.37,129.48,60.76,7.96
opuwo,8.0,na,1546894214,33.0,-18.06,13.84,73.23,8.63
cotonou,20.0,bj,1546891200,78.0,6.37,2.43,80.6,2.24
roebourne,0.0,au,1546894214,72.0,-20.77,117.15,75.34,2.71
mount gambier,75.0,au,1546891200,93.0,-37.83,140.78,53.6,2.24
poronaysk,20.0,ru,1546894214,87.0,49.22,143.1,-3.73,3.15
tokur,12.0,ru,1546894215,58.0,53.13,132.9,-21.91,2.37
kutum,0.0,sd,1546894215,35.0,14.2,24.66,55.81,9.98
chisec,44.0,gt,1546894215,75.0,15.81,-90.29,72.15,2.48
dingle,90.0,ie,1546889400,93.0,52.14,-10.27,51.8,6.93
ginir,0.0,et,1546894215,52.0,7.14,40.71,50.01,3.15
inuvik,75.0,ca,1546891200,75.0,68.36,-133.71,-14.81,4.7
puerto baquerizo moreno,20.0,ec,1546891200,69.0,-0.9,-89.6,82.4,13.87
flinders,90.0,au,1546891260,100.0,-34.58,150.85,68.0,6.93
korem,12.0,et,1546893953,75.0,12.51,39.52,35.25,1.25
champerico,40.0,gt,1546891200,49.0,14.3,-91.92,89.6,9.17
yelan,48.0,ru,1546894217,66.0,50.95,43.74,5.82,2.93
balasheyka,44.0,ru,1546894217,86.0,53.28,48.09,-0.08,5.61
cairns,75.0,au,1546891200,78.0,-16.92,145.77,77.0,5.82
tarashcha,68.0,ua,1546894217,87.0,49.56,30.49,16.35,5.61
lavrentiya,0.0,ru,1546894218,90.0,65.58,-170.99,1.68,23.29
havre-saint-pierre,20.0,ca,1546891200,40.0,50.23,-63.6,14.0,12.75
ingham,20.0,au,1546894218,100.0,-18.65,146.16,78.0,9.98
malartic,90.0,ca,1546891200,71.0,48.14,-78.13,10.4,16.11
atherton,24.0,au,1546893000,83.0,-17.27,145.48,77.0,4.7
garowe,0.0,so,1546894219,56.0,8.41,48.48,66.79,10.42
padang,20.0,id,1546894219,100.0,-0.92,100.36,82.09,1.92
chipinge,12.0,zw,1546894219,97.0,-20.19,32.62,69.27,4.05
berlevag,0.0,no,1546890600,100.0,70.86,29.09,32.0,17.22
kuantan,75.0,my,1546891200,94.0,3.82,103.33,77.0,2.24
jalgaon,0.0,in,1546894220,80.0,21.0,75.57,46.95,3.27
lere,8.0,ng,1546894220,32.0,10.39,8.57,66.66,10.98
kurud,0.0,in,1546894220,64.0,20.85,81.72,53.56,4.72
sovetskaya gavan,8.0,ru,1546894220,100.0,48.97,140.29,-0.04,5.39
kaeo,24.0,nz,1546894221,71.0,-35.1,173.78,72.01,4.72
bemidji,40.0,us,1546893360,88.0,47.48,-94.89,35.6,12.75
nemuro,0.0,jp,1546894221,100.0,43.32,145.57,26.79,10.65
starogard gdanski,90.0,pl,1546893000,94.0,53.96,18.53,32.0,9.17
morwa,0.0,in,1546894221,73.0,22.9,73.84,52.66,9.64
